Actual_Test,Predicted_Test
4580,4582.902
4540,4652.415
4530,4626.08
4610,4613.7715
4690,4691.304
4760,4704.267
4970,4882.999
5100,5112.2183
5100,5193.9385
5050,5183.894
5075,5162.9165
5225,5130.722
5100,5203.374
5150,5072.86
5075,5115.563
4920,5017.5063
5225,5044.6797
5075,5084.7563
4960,4947.498
4940,4971.73
4910,4924.974
5100,5008.83
5150,5079.993
5125,5107.786
4870,5020.968
4930,4910.696
4950,4918.761
4900,4926.0854
4940,4923.4473
4870,4956.9805
4800,4839.2485
4650,4622.807
4680,4531.087
4750,4601.3696
4530,4645.252
4930,4623.91
4620,4744.168
4840,4745.9243
4920,4786.3115
4710,4827.035
4750,4662.3853
4860,4860.108
4790,4728.037
4780,4638.4077
4880,4770.575
4740,4735.128
4850,4821.523
4610,4751.265
4570,4621.959
4490,4548.9126
4450,4577.8374
4620,4541.2266
4710,4691.304
4750,4704.267
5000,4960.4937
5000,5085.233
4920,5093.875
5025,5133.504
5700,5309.055
5500,5540.448
5500,5468.61
5675,5592.351
5725,5655.094
5875,5675.8804
5825,5756.412
5900,5968.91
5625,5789.955
6575,6093.5806
6150,6431.6055
