Actual_Train,Predicted_Train
7225,7244.7764
7150,7167.508
7225,7196.3203
7250,7224.527
7325,7338.9497
7600,7515.1245
7475,7494.974
7850,7672.5815
7650,7634.4463
7425,7447.671
7175,7204.066
6700,6828.723
7175,7048.7163
7450,7394.344
7425,7391.1113
7450,7458.821
7450,7482.5244
7150,7242.0684
7450,7376.0376
7100,7160.929
7075,7120.691
7075,7040.048
6775,6811.55
6500,6510.3438
6575,6574.6816
6675,6662.6724
6750,6681.5093
6750,6716.0054
6575,6666.432
6650,6678.2817
6425,6498.9043
6475,6498.0117
6700,6590.7725
6800,6751.4683
6800,6755.037
6625,6691.054
6525,6613.7905
6625,6609.3823
6500,6512.8115
6775,6696.6523
6850,6800.8623
6925,6873.9385
6925,6880.6714
6950,6931.794
6825,6830.5146
7075,7026.52
6975,6971.8027
6350,6507.3574
6400,6403.1733
6100,6204.7183
6200,6129.8706
5525,5691.2974
5675,5640.7607
4870,4961.8745
3780,3958.2036
4080,4045.8765
3900,3916.9329
4090,4101.7695
3800,3815.6226
3630,3718.0137
3850,3784.6873
3740,3819.6785
3710,3814.566
3970,3892.912
4770,4622.772
5000,4919.152
4790,4861.1763
4890,4921.6436
4900,4890.4883
4850,4913.3896
4830,4830.8438
5200,5124.5854
5050,5104.9844
5150,5139.2573
5275,5284.2085
5375,5371.1187
5300,5252.951
5325,5293.6304
5050,5102.847
4630,4740.915
4780,4721.038
4860,4780.9917
4590,4612.367
4740,4630.192
4930,4879.98
5400,5301.6084
5425,5430.246
5825,5745.5596
5900,5912.057
5725,5745.7065
5550,5613.785
5700,5661.073
5675,5657.5005
6200,6056.281
6000,6027.7373
6025,6010.8105
6425,6276.3936
6575,6580.0796
6700,6664.6104
6100,6278.6675
6100,6060.348
5850,5887.469
5775,5791.698
5400,5509.559
5500,5413.114
5475,5458.508
5775,5714.2305
5600,5665.7256
5350,5440.6035
5275,5261.142
5250,5292.0923
5625,5524.94
5500,5544.385
5325,5362.8022
5225,5217.6255
5050,5110.0537
5150,5119.825
5225,5236.358
5275,5239.601
5000,5074.572
4920,4934.9395
5000,5004.764
4910,4938.21
4880,4918.976
4950,4943.8945
4720,4753.8706
4940,4895.895
5025,5009.772
5100,5082.036
5050,5082.015
5350,5312.554
5425,5339.3994
5425,5490.9443
5150,5270.2266
5450,5329.6304
5900,5776.587
6250,6142.002
6175,6264.597
6025,6105.995
5925,5972.7656
6150,6147.8003
6225,6204.549
5900,5973.5376
5750,5802.0464
5925,5924.891
5800,5860.2627
5675,5689.7495
5700,5744.552
5700,5712.486
5725,5702.894
5600,5610.981
5475,5542.1626
5500,5494.85
5450,5461.299
5600,5597.507
5800,5761.8076
5625,5605.209
6275,6017.3496
6400,6332.495
6400,6421.5728
6700,6672.477
7000,6905.031
6875,6914.889
7050,7019.3916
7575,7349.878
7125,7182.5605
7125,7167.7334
7225,7254.986
7300,7220.477
6925,7028.4517
6950,6959.436
6675,6745.1978
6525,6553.4253
5975,6091.1123
5950,6002.417
6075,5939.5615
6325,6273.495
6625,6488.658
6950,6907.559
6975,6958.9575
6875,6912.4316
6925,6935.3228
6775,6786.452
6900,6787.308
7150,7100.105
6625,6691.3877
6475,6518.363
6350,6374.8794
6575,6461.374
6550,6540.4375
6425,6461.6597
6450,6449.4033
6225,6350.6406
6175,6153.917
6125,6127.9014
5675,5746.4966
5775,5752.6084
5675,5640.6675
5700,5650.0
5450,5480.105
5450,5491.1294
5900,5790.9365
5875,5902.4883
5875,5928.8457
5700,5745.5586
5675,5702.611
5750,5752.929
6050,5993.444
5975,6016.1357
5850,5938.649
5950,5974.6904
6000,5998.2437
5925,5912.1226
6200,6136.5527
6425,6390.292
6750,6667.506
6150,6286.292
6225,6241.066
6475,6287.5625
6600,6513.295
6450,6497.16
6800,6742.634
6850,6875.7554
6775,6782.8306
6775,6710.8745
6825,6754.4785
6750,6727.933
6450,6562.259
6625,6605.849
6800,6735.5923
6750,6734.6074
6525,6593.494
6450,6492.0166
6550,6515.4536
6400,6460.476
6300,6299.175
6200,6236.9365
6225,6182.0757
6075,6135.843
5975,5959.3057
5700,5767.7104
5725,5679.265
5900,5732.949
5775,5757.9287
5700,5732.614
5725,5726.1465
5750,5741.8086
5675,5712.3086
5650,5654.2104
5550,5584.771
5650,5610.278
5625,5595.3267
5600,5609.665
5350,5439.7534
5075,5105.7334
5325,5265.1055
5325,5333.9746
5200,5259.4185
5125,5130.1597
5225,5167.9224
5150,5212.7417
5175,5140.378
5375,5297.436
5150,5222.3696
5275,5249.885
4900,4982.331
4880,4827.298
5225,5062.5864
5125,5112.348
4800,4909.3613
4710,4734.368
4290,4457.592
4560,4518.097
4420,4444.305
4490,4515.822
4460,4532.243
