Actual_Test,Predicted_Test
9950,9795.666
10075,9937.155
10125,10016.727
10325,10039.39
10200,10006.056
10150,9985.215
10325,9845.103
10325,9845.103
10325,9845.103
10300,9845.103
10425,9845.103
10775,9845.103
10650,9845.103
10475,9845.103
10375,9845.103
10750,9845.103
10750,9845.103
10425,9845.103
10075,9845.103
10175,9807.268
9850,9845.103
10000,9796.577
10075,9871.789
10050,9839.69
9650,9768.514
9800,9804.653
9850,9784.586
9725,9690.442
9900,9867.693
9350,9801.643
9450,9551.88
9350,9478.022
8975,9325.041
9000,9102.802
8425,8722.53
8925,8639.361
8750,8709.401
7900,8609.535
8500,8384.105
8275,8321.846
8500,8375.039
8600,8481.176
8975,8604.6875
9000,8902.588
9300,9095.975
9675,9356.284
9400,9542.489
8925,9428.365
9025,9142.804
8700,8848.45
8650,8719.967
8650,8616.6
8625,8622.518
8425,8540.673
8450,8523.252
8300,8430.647
8300,8474.496
8700,8506.402
8450,8667.099
8075,8396.424
8000,8185.609
7925,8072.9434
7800,8022.63
7625,7759.119
7525,7607.993
7400,7581.9067
7500,7440.46
8275,7587.96
8600,8205.752
