Actual_Train,Predicted_Train
5540,5517.252
5440,5452.4907
5500,5485.5435
5490,5468.5806
5550,5500.6104
5505,5476.7515
5510,5466.234
5625,5651.761
5620,5640.5195
5675,5656.414
5610,5661.479
5180,5302.5083
5610,5511.41
5820,5761.697
5800,5827.7617
5880,5918.455
5995,6036.624
5970,6049.837
6010,6023.1284
6200,6163.7944
6195,6168.005
6165,6223.2944
6065,6111.4536
5960,6036.0806
5995,6002.713
6100,6078.529
6025,6041.4688
6030,6058.9683
5990,6031.759
6070,6033.9014
6045,6041.4688
6125,6118.8726
6160,6152.229
6200,6231.0835
6325,6269.711
6280,6311.8223
6275,6351.905
6305,6283.2505
6280,6312.3145
6395,6363.3184
6360,6367.705
6660,6576.221
6695,6722.6826
6800,6745.7437
6725,6733.29
6875,6863.206
6810,6815.641
6480,6612.4697
6760,6631.46
6680,6664.619
6615,6647.5083
6290,6440.932
6200,6212.5664
5660,5703.1484
4735,4933.768
5510,5448.429
5495,5519.0967
5595,5618.035
5425,5401.322
4920,5065.7837
5170,5191.1724
5245,5257.331
4785,4846.246
4765,4916.268
5190,5138.8687
5725,5606.6587
5670,5630.8564
5575,5581.831
5645,5635.3022
5870,5829.242
6200,6101.601
6120,6133.0137
6100,6089.0483
6240,6207.4214
6180,6249.1367
6405,6327.9536
6330,6378.0645
6495,6430.0376
6380,6439.6294
5905,6098.4507
5630,5702.0
5610,5533.0796
5505,5537.7383
5775,5739.2905
5760,5812.6577
5770,5799.1636
5790,5811.6567
6300,6116.4844
6390,6340.353
6600,6541.5034
6385,6436.9424
6390,6410.5527
6735,6598.9053
6800,6752.291
6725,6761.132
6770,6753.5464
7050,6967.6777
6955,6948.82
7080,6990.563
6760,6928.7607
6915,6960.6553
6880,6912.131
6825,6889.286
6710,6758.1465
6800,6770.6367
6765,6752.1987
6760,6741.5845
6415,6570.9863
6225,6296.6167
6200,6161.276
6275,6162.8613
6390,6284.157
6405,6399.598
6400,6442.7456
6480,6458.161
6360,6413.312
6340,6352.9824
6580,6451.7944
6470,6466.657
6325,6402.6685
6190,6256.737
6100,6145.938
6020,5963.6943
6110,6095.276
6035,6098.7656
5970,6019.7764
6160,6083.1523
6410,6307.7637
6600,6474.179
6510,6555.0713
6600,6617.785
6520,6548.925
6520,6553.6094
6585,6566.806
6760,6680.077
7290,7107.602
7650,7505.593
7525,7616.492
7475,7580.0264
7450,7447.911
7525,7490.368
7425,7442.961
7275,7322.0063
7375,7327.366
7375,7359.851
7500,7474.185
7300,7332.5146
7300,7327.232
7650,7511.842
7850,7809.7656
7950,7853.0547
7775,7805.085
7725,7750.405
7825,7774.2075
7925,7895.161
8050,7978.0645
7900,7930.175
7950,7988.283
7900,7951.0938
7950,7974.6323
7925,7935.4688
7850,7928.3213
7700,7800.1973
7875,7841.703
8125,7976.149
7325,7607.218
7400,7495.091
7575,7524.515
7600,7629.14
7350,7434.972
7500,7481.5093
7475,7521.883
7250,7310.3496
7150,7214.7603
7000,7061.8267
7325,7276.3926
7350,7376.6494
7875,7660.7573
7925,7805.058
7900,7863.571
8000,7952.178
8225,8200.598
8375,8269.681
8450,8404.189
8375,8387.245
8550,8496.862
8200,8366.741
8250,8261.248
8650,8534.681
8750,8710.516
8775,8781.136
8850,8799.636
8825,8802.101
8975,8916.397
8900,8890.323
8575,8689.013
8600,8569.17
8500,8554.284
8550,8560.52
8300,8398.262
8050,8228.304
8300,8249.776
8700,8485.0205
8700,8751.385
8825,8773.695
8725,8764.125
8675,8742.31
8475,8591.581
8450,8474.827
8375,8389.556
8825,8647.681
8750,8757.025
8750,8786.037
9000,8924.167
9125,9036.116
9050,9025.399
9000,9018.981
8800,8897.024
9000,8933.849
9150,9103.92
9050,9075.068
9100,9094.11
9050,9035.587
9050,9055.591
9150,9103.111
9025,9078.799
9200,9119.858
9150,9168.105
9125,9152.042
9150,9113.189
9400,9250.653
9250,9321.703
9275,9308.415
9225,9252.771
9125,9198.48
9000,9078.031
9075,9030.418
8825,8935.573
9025,9038.995
9075,9093.558
8975,9025.914
8700,8804.526
8900,8848.027
8825,8793.77
9075,8993.551
8925,8954.241
8950,8998.581
8750,8850.46
9225,9109.02
9325,9223.176
9400,9356.881
9575,9543.7
9700,9655.324
9625,9626.933
9350,9467.951
9700,9594.683
9700,9688.983
9950,9921.969
9825,9838.239
9825,9851.614
10150,10059.345
10150,10091.454
10100,10044.654
10075,10039.888
9825,9903.997
9475,9585.683
9625,9594.335
9850,9778.871
9375,9479.562
9750,9761.577
9425,9482.049
9250,9353.118
9325,9341.506
9200,9186.878
9600,9504.5
9925,9761.673
