Actual_Test,Predicted_Test
1220,1140.9374
1130,1197.7598
1055,1146.863
1065,1019.95874
1090,1071.0358
1045,1042.4225
1105,1052.0428
1115,1057.4183
1145,1053.6913
1085,1052.5404
1140,1096.8789
1065,1049.6464
1090,1048.6456
1010,1046.8304
995,1007.68475
1020,1000.0616
1010,1005.8069
985,964.4187
940,941.3579
855,936.39453
800,829.4078
855,811.49884
955,941.406
890,919.76636
820,866.4371
910,839.989
935,923.8652
985,960.39264
940,959.18243
905,938.92865
920,915.34357
815,860.1062
810,797.9248
850,782.08514
785,828.42
820,799.39343
780,810.7547
700,748.7009
710,734.6103
665,682.823
765,759.19385
750,741.194
755,768.59454
820,772.4219
875,846.615
1155,1009.41284
1260,1203.2471
1510,1352.8405
1525,1407.7465
1500,1431.9652
1595,1384.4474
1550,1352.8541
1800,1338.541
2260,1338.541
2480,1338.541
2690,1338.541
2460,1338.541
2280,1338.541
2250,1338.541
2190,1338.541
2200,1338.541
2260,1338.541
3000,1338.541
3690,1338.541
3850,1338.541
4280,1338.541
3650,1338.541
3640,1338.541
3470,1338.541
