Actual_Train,Predicted_Train
597,627.19574
605,627.19574
657,651.64545
685,680.63007
715,711.2059
717,709.8931
809,790.5208
815,827.0971
821,825.7359
811,814.4537
795,802.3112
733,748.5009
723,734.85657
657,658.51746
681,676.2655
637,664.5168
639,643.26105
677,670.5736
729,725.5788
751,754.7592
735,747.5852
751,750.8298
782,772.5282
732,761.713
722,727.8077
901,860.7207
1070,1043.7678
1036,1049.6715
996,1017.83594
991,992.58575
991,983.82654
931,934.0864
921,928.7175
1006,977.8006
956,957.8674
976,961.38086
1070,1053.1104
1195,1181.4751
1354,1324.0621
1409,1413.6819
1414,1385.7566
1494,1474.4908
1499,1459.0448
1419,1408.2738
1270,1289.6528
1305,1303.8662
1369,1351.7383
1300,1289.4541
1260,1262.4404
1195,1216.2748
1155,1137.1295
981,994.8134
966,979.09265
652,708.10223
523,551.35443
617,618.04395
996,887.35895
941,940.99805
986,980.33203
1235,1215.3354
1444,1444.8567
1205,1229.267
1220,1239.0565
1220,1225.215
1344,1324.1454
1309,1295.0432
1190,1199.9674
1155,1144.6469
1145,1135.3413
1175,1167.5648
1215,1198.8546
1250,1251.8558
1170,1196.0532
946,976.7297
881,899.2194
911,907.1483
921,888.1339
886,894.67957
777,809.63965
727,746.4846
732,735.06335
672,699.2768
841,832.8283
846,865.6765
906,898.85693
921,928.8373
896,914.0994
931,922.4064
931,930.4086
951,958.4168
1110,1053.0859
1115,1137.5612
1225,1202.1315
1245,1237.334
1220,1209.5779
1095,1089.82
1165,1157.7217
1140,1134.4906
1016,1028.7244
881,906.02057
1160,1120.3777
1165,1169.4253
1041,1048.5375
1095,1057.6577
1021,1017.5342
1056,1055.3921
1021,1009.46594
941,963.9889
941,941.58417
986,973.48267
971,982.7319
926,934.19543
996,988.1397
926,949.55225
921,914.68756
896,906.8229
886,897.383
881,880.3486
856,862.26733
856,857.25635
891,871.74
851,861.67975
886,867.6473
807,829.7894
807,806.09186
966,903.5124
1120,1090.8071
1070,1101.9126
1080,1084.7681
1056,1053.3615
1016,1022.0345
1001,1005.6871
1021,1028.0153
971,981.28107
951,947.6982
961,963.6364
941,956.8019
971,964.5286
931,953.84125
966,955.30774
971,969.80145
1016,1011.8977
1011,1010.62317
891,921.61206
876,875.14166
891,891.3426
871,880.64386
851,865.23
841,855.7398
856,852.7081
871,865.6855
871,865.0468
931,911.0708
1021,992.066
981,988.09155
886,905.7152
901,884.4247
861,868.1851
866,876.2925
896,876.6969
896,900.07764
886,897.0947
866,855.0707
871,864.1943
846,862.79785
802,826.40137
812,808.166
836,836.98346
836,823.35486
772,796.2567
717,733.5716
747,746.79266
727,732.80664
782,778.05707
881,850.3473
931,937.24207
896,929.49084
1011,993.3503
1021,1011.31525
906,922.86743
822,849.18463
856,827.3516
866,862.6926
812,842.6197
832,814.4207
792,806.49365
802,796.72675
792,801.76385
817,812.80664
832,819.88684
817,816.0611
797,803.961
817,803.9056
817,826.7693
792,803.99133
772,783.6681
772,762.3232
780,762.7963
755,761.2668
820,812.52496
840,838.5239
835,836.7752
840,822.4252
830,827.6351
855,821.032
895,874.6294
935,926.99335
820,861.8576
780,782.6133
770,761.6359
820,828.951
825,827.2773
775,808.4001
805,799.16656
800,806.1393
835,817.17346
820,830.15186
805,812.29663
795,798.0532
775,793.9859
760,754.0124
710,732.79236
770,768.8268
740,746.8274
745,758.41144
760,750.01746
770,772.49884
775,773.4443
765,768.067
780,774.9559
855,828.37555
895,888.21405
1030,1011.92065
1200,1170.0144
1140,1141.9215
1420,1399.1914
1485,1480.3501
1300,1328.833
1355,1335.1458
1145,1158.0153
1020,1045.5054
990,990.40826
1040,1033.9406
1175,1162.503
1165,1162.3337
985,1001.341
1015,1021.88635
1750,1681.7576
1610,1616.7656
1410,1412.9469
1330,1349.05
1350,1351.6688
1065,1099.8203
1085,1069.2983
1035,1034.1554
1050,1054.0382
1050,1026.228
1010,1009.569
975,968.80035
1005,997.45605
1010,1014.96796
985,969.3214
945,945.5992
945,945.2018
1005,994.5788
950,975.5268
875,907.5974
980,957.00555
980,970.9014
1340,1297.1232
1185,1222.676
1065,1082.3245
965,975.61676
950,945.6935
950,952.4678
990,983.1684
