Actual_Train,Predicted_Train
3910,3907.9106
3740,3761.7026
3740,3767.8728
3820,3813.4417
3950,3939.4177
4050,3985.645
3830,3899.215
3860,3869.1409
3910,3900.2153
3820,3809.9678
3790,3778.1155
3510,3588.7666
3750,3694.1309
3900,3813.2078
3990,3966.9604
4040,4023.5679
4140,4105.83
4280,4235.7744
4180,4209.8706
4270,4254.3315
4160,4174.369
4280,4261.8003
4260,4247.4297
4280,4263.208
4380,4350.4795
4450,4469.514
4210,4232.5703
4160,4180.25
4290,4291.4326
4310,4312.549
4190,4195.613
4170,4185.152
4190,4171.661
4280,4230.2593
4080,4103.2886
4110,4114.054
4080,4078.923
4050,4051.4404
3930,3925.514
4100,4056.0166
3990,3999.0115
4020,4021.035
3990,4013.4143
3980,4002.2458
3980,3986.4888
3810,3868.025
3920,3863.806
3800,3810.8442
3790,3778.3748
3640,3665.9905
3690,3703.2275
3490,3562.8628
3750,3724.9395
3390,3458.4646
2880,3022.0598
3090,3091.5762
3200,3166.2036
3120,3099.4897
3230,3219.895
3090,3100.0403
3500,3414.2327
3190,3237.941
3100,3146.5393
3180,3191.3762
3150,3152.2275
3230,3210.408
3030,3075.4692
3280,3228.991
3190,3193.917
3120,3141.7268
3110,3110.3423
3060,3078.584
3020,3031.8813
3050,3026.6465
2980,3007.8865
3030,3018.9849
3000,2991.805
2960,2970.219
2860,2895.9333
2810,2820.7534
2890,2828.9568
2690,2702.7668
2680,2679.5168
2730,2738.1536
2750,2747.7883
2630,2663.9927
2620,2692.8232
2830,2797.577
2990,2974.726
3220,3207.813
3460,3386.677
3250,3308.4985
3280,3296.117
3510,3488.2021
3320,3368.2405
3310,3330.1152
3570,3509.6064
3480,3514.7917
3390,3422.1665
3110,3121.665
3290,3225.537
3190,3185.365
3210,3213.2185
3490,3403.2222
3320,3301.6838
3450,3446.5745
3440,3456.7175
3490,3438.3284
3390,3421.434
3360,3378.0435
3360,3343.4827
3310,3301.7305
3200,3251.588
3190,3225.0974
3180,3213.608
3270,3259.6929
3270,3270.1748
3500,3468.0354
3470,3482.9294
3350,3381.1416
3250,3263.8806
3070,3161.3354
3160,3170.6562
3170,3144.987
3170,3160.4473
3240,3209.665
3320,3300.0283
3300,3333.1072
3400,3370.947
3320,3274.6008
3390,3366.107
3330,3326.5242
3530,3476.9087
3560,3541.4841
3660,3629.3662
3800,3771.8086
3810,3813.8074
3870,3849.0127
3800,3800.062
3770,3758.5044
3600,3659.544
3900,3821.151
4010,3962.1267
4070,4042.7102
4150,4105.5146
4100,4117.878
4110,4135.2256
4040,4081.1826
4170,4142.3623
4190,4196.411
4330,4297.731
4260,4279.5723
4230,4247.8765
4450,4411.4414
4400,4408.068
4340,4365.888
4400,4408.963
4590,4521.806
4540,4523.0957
4520,4518.805
4580,4558.944
4580,4591.897
4680,4603.043
4620,4622.684
4620,4604.1875
4260,4355.463
4170,4188.153
4300,4272.016
4310,4285.3994
4020,4063.6304
4120,4089.143
4150,4125.0513
4020,4036.5972
4010,4015.1235
4150,4139.0957
4230,4197.644
4230,4208.6543
4650,4558.214
4550,4553.7026
4600,4587.0415
4490,4498.5703
4600,4607.1294
4600,4591.278
4410,4428.0776
4380,4375.265
4460,4437.5874
4350,4375.803
4290,4298.277
4360,4334.9956
4450,4422.869
4210,4231.9185
4150,4178.5317
4010,4044.8306
4030,4053.4653
4000,4001.6675
3650,3750.487
3680,3667.394
3780,3766.6975
3750,3753.523
3710,3703.5461
3780,3758.1794
3870,3865.1084
3960,3950.3552
3880,3905.5671
3800,3819.2925
3760,3772.5176
4040,3948.7905
3900,3931.5623
4010,3995.0723
4050,4029.5693
4070,4082.5789
4060,4053.1602
4250,4210.5957
4340,4310.8447
4270,4275.8086
4250,4254.4126
4170,4270.612
3980,4055.5654
4020,4010.3271
4130,4071.0989
4040,4040.3203
4150,4128.573
3970,4045.8557
3950,3974.757
4000,3991.4202
3960,3973.8328
3930,3937.139
3860,3867.9143
3720,3759.5989
3690,3693.9907
3810,3777.3289
3760,3782.8638
3720,3716.6047
3720,3726.2234
3690,3723.3655
3720,3719.23
3860,3825.2346
3750,3787.54
3780,3773.5618
3850,3848.0864
3700,3746.4077
3500,3576.3008
3570,3554.5151
3550,3519.0784
3550,3545.1443
3620,3615.4148
3830,3790.396
3940,3911.2063
3980,3967.3398
3960,3957.084
3950,3956.0027
3890,3900.5198
4010,3935.3374
3940,3946.7346
3980,3981.5486
3990,3974.1238
3980,4002.4338
4160,4080.4446
4100,4091.6372
3920,3998.8506
3860,3896.172
3970,3908.0916
3900,3884.3767
3470,3582.5078
3430,3412.704
3150,3174.591
3030,3048.1038
3160,3133.499
3080,3098.5413
2990,3024.8533
2940,2970.424
2900,2944.3367
3050,3005.463
2720,2799.8486
2950,2919.5476
3130,3069.5505
