Actual_Test,Predicted_Test
9200,9079.588
9500,9059.518
9475,8648.357
9550,8657.662
10100,8657.662
10475,8657.662
10100,8657.662
9325,8657.662
9975,8657.662
9425,8657.662
9000,8657.662
8050,8663.084
8875,8607.42
8650,9084.994
8550,9122.029
8900,9008.207
9100,9071.547
8550,9079.588
7275,8988.139
6625,7792.129
6350,7812.3813
6950,7664.448
8675,7716.6953
7775,8908.663
7300,8505.725
7300,8123.044
7175,7955.8345
6800,7973.6963
6750,7822.543
7025,7672.2144
7100,7719.784
6525,7951.5947
6975,7774.592
8025,7753.0786
6700,8791.363
7300,7976.149
6750,7822.4575
7250,7751.324
7200,7835.642
6975,7903.9277
7550,7938.8
7800,8230.596
8650,8385.749
8525,9140.01
9225,9028.683
10550,9073.892
9325,9056.291
9575,8648.357
10000,8657.662
9650,8657.662
9675,8657.662
9800,8657.662
9800,8657.662
9400,8657.662
9225,8657.662
9600,8657.662
8825,8657.662
9200,8663.084
8775,8677.732
8250,9074.246
8125,8598.113
7900,9010.242
8000,8555.631
7650,9041.219
7575,8434.387
8100,8318.002
6925,8914.649
7275,8102.4043
7125,7989.5884
