Actual_Train,Predicted_Train
1299,1282.7219
1282,1281.4199
1276,1298.8079
1270,1289.0322
1281,1299.0596
1254,1275.4744
1185,1218.492
1191,1198.2954
1151,1168.1948
1163,1168.1948
1254,1199.5891
1130,1168.3707
1156,1164.0767
1156,1157.303
1089,1131.5815
1128,1135.3455
1128,1142.1538
1089,1131.0837
1089,1142.1108
1281,1239.579
1384,1346.7179
1503,1433.7961
1656,1661.5457
1758,1753.2407
1905,1829.7361
2001,2001.3544
2048,2040.3984
2019,2039.6797
1894,1914.6359
1866,1863.4385
1883,1869.9515
2001,1970.048
2144,2119.4368
2110,2134.2446
2121,2110.3647
2064,2075.7676
2206,2157.3047
2036,2086.0286
2121,2094.1064
2223,2144.2158
2246,2269.1023
2388,2341.9595
2365,2389.0806
2331,2329.88
2138,2221.7456
2166,2183.8706
2263,2259.2356
1990,2094.4888
1996,2022.2866
2036,2026.9124
2053,2068.9924
1815,1898.04
1746,1754.6943
1475,1595.0775
1440,1480.6876
1270,1350.1733
1554,1485.7502
1673,1587.4424
1793,1723.3629
1963,1892.3376
2036,2008.676
1815,1937.8206
1486,1638.8507
1571,1500.3152
1661,1615.5265
1628,1640.7936
1525,1617.7423
1543,1561.1072
1469,1532.9067
1560,1517.6902
1509,1576.2698
1610,1583.6122
1690,1648.3372
1661,1685.4075
1668,1668.0627
1684,1663.2872
1668,1675.5363
1610,1657.3397
1549,1605.7997
1543,1555.5673
1588,1555.5673
1634,1629.3829
1713,1684.3662
1764,1760.8514
1746,1767.9113
1793,1777.827
1815,1803.545
1849,1845.2145
1905,1869.8751
1985,1991.1562
2099,2090.4648
2211,2146.9307
2263,2236.469
2059,2116.0803
2075,2084.0015
2059,2081.7966
2280,2193.2983
2296,2271.0542
2354,2321.159
2308,2311.2778
2479,2409.525
2455,2465.8088
2331,2414.0415
2211,2256.207
2138,2141.6274
2399,2346.13
2495,2453.0488
2473,2460.2336
2524,2497.1116
2506,2493.0073
2421,2431.5046
2331,2380.8806
2285,2290.613
2121,2207.2917
1979,2047.5214
1809,1865.8356
1719,1744.492
1775,1732.6912
1815,1768.0802
2144,1989.4392
2280,2199.889
2211,2240.2544
2251,2266.894
2173,2227.2522
1985,2071.5042
2133,2089.4016
2126,2120.5188
2099,2110.7068
2036,2066.2
1900,1982.8743
1888,1867.2948
1800,1827.4568
1863,1846.9714
1800,1840.5575
1763,1795.4015
1831,1812.1436
1788,1809.4435
1881,1860.598
1900,1873.4128
1794,1848.1648
1819,1829.1741
1794,1800.1152
1750,1790.4812
1744,1755.834
1769,1754.3019
1850,1817.4857
1800,1841.3754
1831,1840.1964
1813,1830.5992
1875,1852.251
2013,1990.9302
2144,2122.467
2406,2315.934
2506,2473.2427
2375,2438.9336
2256,2315.85
2238,2236.072
2206,2197.62
2369,2322.1602
2375,2369.889
2538,2468.8694
2688,2612.651
2563,2561.4238
2563,2599.1501
2513,2551.1067
2475,2488.2432
2475,2445.558
2544,2488.2432
2538,2511.3225
2488,2511.3225
2381,2420.7527
2363,2387.211
2188,2252.2297
2181,2208.6108
2388,2336.6643
2413,2421.7808
2375,2414.7798
2313,2315.5303
2288,2263.6099
2256,2264.9604
2350,2312.1003
2380,2328.6614
2620,2503.7498
2470,2515.3582
2570,2580.622
2400,2451.8665
2480,2435.9316
2430,2427.5942
2470,2423.6565
2410,2409.6978
2360,2380.1804
2360,2307.2292
2380,2334.3345
2350,2390.143
2380,2360.3015
2350,2380.642
2500,2408.057
2490,2482.175
2570,2520.5715
2340,2428.5234
2350,2340.0605
2350,2328.9321
2350,2353.4822
2320,2336.5728
2350,2334.9006
2310,2313.1423
2310,2306.1038
2240,2273.5752
2360,2314.5093
2270,2292.1956
2270,2295.019
2340,2310.1414
2290,2309.8018
2230,2262.2222
2280,2272.8928
2360,2333.9521
2270,2302.3354
2220,2262.714
2190,2187.4436
2100,2113.6162
2140,2122.3125
2050,2092.9573
2070,2069.8188
2080,2058.1987
2100,2085.4153
2090,2086.039
2040,2062.6528
2040,2057.6973
2090,2059.9688
2080,2068.2524
2150,2121.7617
2150,2120.8901
2160,2151.994
2150,2148.9116
2000,2067.0256
2570,2388.5593
2620,2567.641
2530,2572.0745
2740,2677.0198
2700,2679.688
2600,2652.78
2820,2791.3516
3000,2900.1929
3000,2976.189
2950,2977.906
2870,2828.441
2910,3044.9597
4700,4664.6587
4930,4938.1465
5875,5704.9463
5250,5287.893
5725,5743.7266
3560,3758.6106
4350,4331.096
5400,5368.4707
5475,5473.822
5200,5238.5615
4620,4609.2944
4490,4469.402
4670,4717.7886
5575,5550.4717
5150,5148.401
5675,5696.138
5825,5746.8096
7100,7076.5703
6850,6881.709
7325,7302.22
7750,7714.217
7975,8006.3887
9100,9067.575
9075,9090.742
9175,9105.286
8500,8645.13
8575,8587.266
8625,8624.111
9225,9094.314
